nev	hossz	allomas
Sötét-völgyi tanösvény 	4,3	9
Strázsa-hegyi tanösvény 	1,2	7
Szádvár tanösvény 	4,5	12
Szalajka-völgyi természetvédelmi bemutatóösvény 	4,2	10
Szala menti tanösvény 	3,8	9
Szálkahalmi tanösvény 	1,1	5
Szarvaskõi geológiai tanösvény 	8,8	11
Szeremlei-Holt-Duna tanösvény 	2,4	6
Szigetközi Ökoturisztikai Bemutató Útvonal 	18	12
Sziki õszirózsa tanösvény 	4	10
Szilvás-kõi geológiai tanösvény 	3,5	12
Szinva tanösvény 	4	6
Szomoróczi tanösvény 	3	6
Tanösvény a Turjánban 	1,2	9
Tarpai Szõlõ-hegy tanösvény 	3	6
Templom-hegyi tanösvény 	2	6
Pannonhalmi arborétum	1,5	3
Tisza-tavi vízi sétány és tanösvény 	1,5	4
Tohonya-Kuriszlán tanösvény II. útvonal 	9	25
Tohonya-Kuriszlán tanösvény I. útvonal 	4,5	12
Tõzike tanösvény 	3	5
Tüskés-réti tanösvény 	1	4
Újmohácsi tanösvény 	3,1	7
Üde rétek tanösvény 	3	5
Várdomb tanösvény 	0,3	6
Vár-hegyi tanösvény 	10	6
Vártúra ösvény 	1,2	0
Vár-völgyi földtani tanösvény 	3	10
Vasút-oldali túraútvonal 	10	1
Vizi Rence Túraútvonal 	6	0
Vöcsök tanösvény 	3,2	7
Vörös-mocsár tanösvény 	2,5	2
